point_id,selected_near_edge,split,pixel_x_local,pixel_y_local,pixel_x_plot,pixel_y_plot,photon_energy_eV,wavelength_nm,absorption_coefficient_cm_inv,absorption_coefficient_m_inv,absorption_uncertainty_m_inv
X01,False,excluded_indirect_region,163,707,983,827,0.775247525,1599.28532,261.927934,26192.7934,1309.63967
X02,False,excluded_indirect_region,182.5,684,1002.5,804,0.780074257,1589.38969,295.429967,29542.9967,1477.14983
X03,False,excluded_indirect_region,201.5,645.5,1021.5,765.5,0.784777228,1579.86488,361.372038,36137.2038,1806.86019
P01,True,validation,221.5,583,1041.5,703,0.789727723,1569.96133,501.187234,50118.7234,2505.93617
P02,True,fit,242,498,1062,618,0.79480198,1559.93822,781.955103,78195.5103,3909.77552
P03,True,validation,263,403,1083,523,0.8,1549.80248,1285.55573,128555.573,6427.77866
P04,True,fit,284,313,1104,433,0.80519802,1539.79761,2058.90526,205890.526,10294.5263
P05,True,validation,306,235,1126,355,0.810643564,1529.45393,3096.771,309677.1,15483.855
P06,True,fit,327,175,1147,295,0.815841584,1519.70923,4239.09088,423909.088,21195.4544
P07,True,validation,349,132,1169,252,0.821287129,1509.6328,5308.84444,530884.444,26544.2222
P08,True,fit,371,105,1191,225,0.826732673,1499.68911,6114.53783,611453.783,30572.6892
